Iteration,Aileron,AileronLoss,Elevator,ElevatorLoss,Rudder,RudderLoss,DistanceToTarget,PlanePositionX,PlanePositionY,PlanePositionZ,TargetPositionX,TargetPositionY,TargetPositionZ,PlaneVelocityX,PlaneVelocityY,PlaneVelocityZ,PlaneForwardX,PlaneForwardY,PlaneForwardZ,PlaneUpX,PlaneUpY,PlaneUpZ,PlaneRightX,PlaneRightY,PlaneRightZ,LossAngleChange
0,0.601,-28.9678,1.000,-28.9678,0.000,-28.9678,1730.32,0.00,1000.00,3.00,1000.00,2000.00,1000.00,0.00,0.05,180.15,-0.00,-0.00,1.00,0.00,1.00,0.00,1.00,-0.00,0.00,-1.5702209
1,0.635,-28.9386,1.000,-28.9387,0.000,-28.9387,1728.59,0.00,1000.00,6.01,1000.00,2000.00,1000.00,0.00,0.10,180.29,-0.00,-0.00,1.00,0.00,1.00,0.00,1.00,-0.00,0.00,1.0499625
2,0.619,-28.9086,1.000,-28.9086,0.000,-28.9086,1726.86,0.00,1000.01,9.01,1000.00,2000.00,1000.00,0.01,0.16,180.44,-0.00,-0.00,1.00,0.00,1.00,0.00,1.00,-0.00,0.00,1.0658315
3,0.630,-28.8777,1.000,-28.8777,0.000,-28.8777,1725.13,0.00,1000.01,12.02,1000.00,2000.00,1000.00,0.02,0.22,180.58,-0.00,-0.00,1.00,0.00,1.00,0.00,1.00,-0.00,0.00,1.0759283
4,1.000,-28.8474,1.000,-28.8474,0.000,-28.8474,1723.40,0.00,1000.01,15.04,1000.00,2000.00,1000.00,0.02,0.28,180.73,-0.00,-0.00,1.00,0.00,1.00,0.00,1.00,-0.00,0.00,1.0675404
5,0.634,-28.8116,1.000,-28.8116,0.000,-28.8116,1721.68,0.00,1000.02,18.05,1000.00,2000.00,1000.00,0.03,0.35,180.87,-0.00,-0.00,1.00,0.00,1.00,0.00,1.00,-0.00,0.00,1.1347299
6,1.000,-28.7811,1.000,-28.7811,0.000,-28.7811,1719.96,0.00,1000.03,21.07,1000.00,2000.00,1000.00,0.05,0.42,181.02,-0.00,-0.00,1.00,0.00,1.00,0.00,1.00,-0.00,0.00,1.0709265
7,0.636,-28.7386,1.000,-28.7386,0.002,-28.7386,1718.23,0.00,1000.03,24.09,1000.00,2000.00,1000.00,0.06,0.48,181.16,-0.00,-0.01,1.00,0.01,1.00,0.01,1.00,-0.01,0.00,1.1969132
8,0.639,-28.6989,1.000,-28.6989,0.000,-28.6989,1716.51,0.00,1000.04,27.11,1000.00,2000.00,1000.00,0.07,0.55,181.31,-0.01,-0.01,1.00,0.01,1.00,0.01,1.00,-0.01,0.01,1.1741769
9,0.543,-28.6565,1.000,-28.6565,0.000,-28.6565,1714.79,0.01,1000.05,30.13,1000.00,2000.00,1000.00,0.09,0.62,181.45,-0.01,-0.01,1.00,0.01,1.00,0.01,1.00,-0.01,0.01,1.1959338
10,0.485,-28.6111,1.000,-28.6111,0.000,-28.6111,1713.08,0.01,1000.07,33.16,1000.00,2000.00,1000.00,0.11,0.69,181.60,-0.01,-0.01,1.00,0.01,1.00,0.01,1.00,-0.01,0.01,1.2190356
11,0.479,-28.5625,1.000,-28.5625,0.000,-28.5625,1711.36,0.01,1000.08,36.19,1000.00,2000.00,1000.00,0.13,0.75,181.74,-0.01,-0.02,1.00,0.02,1.00,0.02,1.00,-0.02,0.01,1.2403276
12,0.501,-28.5103,1.000,-28.5104,0.000,-28.5104,1709.65,0.01,1000.09,39.22,1000.00,2000.00,1000.00,0.15,0.82,181.89,-0.02,-0.02,1.00,0.02,1.00,0.02,1.00,-0.02,0.02,1.2613200
13,0.058,-28.4547,1.000,-28.4547,0.000,-28.4547,1707.93,0.02,1000.11,42.25,1000.00,2000.00,1000.00,0.17,0.87,182.04,-0.02,-0.03,1.00,0.02,1.00,0.03,1.00,-0.02,0.02,1.2798761
14,0.000,-28.3950,1.000,-28.3950,0.000,-28.3950,1706.22,0.02,1000.12,45.29,1000.00,2000.00,1000.00,0.19,0.93,182.19,-0.03,-0.03,1.00,0.03,1.00,0.03,1.00,-0.03,0.03,1.2985210
15,0.000,-28.3312,1.000,-28.3312,0.000,-28.3312,1704.51,0.02,1000.14,48.33,1000.00,2000.00,1000.00,0.21,0.97,182.34,-0.03,-0.04,1.00,0.03,1.00,0.04,1.00,-0.03,0.03,1.3154376
16,0.000,-28.2632,1.000,-28.2632,0.000,-28.2632,1702.80,0.03,1000.16,51.37,1000.00,2000.00,1000.00,0.23,1.01,182.49,-0.04,-0.04,1.00,0.03,1.00,0.04,1.00,-0.03,0.04,1.3304133
17,0.000,-28.1781,0.500,-28.1781,0.000,-28.1781,1701.10,0.03,1000.17,54.42,1000.00,2000.00,1000.00,0.25,1.04,182.64,-0.04,-0.05,1.00,0.03,1.00,0.05,1.00,-0.03,0.04,1.3773586
18,0.000,-28.1079,1.000,-28.1079,0.500,-28.1079,1699.39,0.03,1000.19,57.46,1000.00,2000.00,1000.00,0.27,1.06,182.79,-0.05,-0.06,1.00,0.03,1.00,0.06,1.00,-0.04,0.05,1.3376645
19,0.000,-28.0127,0.500,-28.0127,0.500,-28.0127,1697.69,0.04,1000.21,60.51,1000.00,2000.00,1000.00,0.28,1.05,182.95,-0.06,-0.07,1.00,0.04,1.00,0.07,1.00,-0.04,0.06,1.3975092
20,0.000,-27.9469,1.000,-27.9469,0.000,-27.9469,1695.99,0.04,1000.22,63.56,1000.00,2000.00,1000.00,0.30,1.04,183.11,-0.07,-0.08,0.99,0.04,1.00,0.08,1.00,-0.04,0.06,1.3227061
21,0.000,-27.8340,0.500,-27.8340,0.500,-27.8340,1694.29,0.05,1000.24,66.62,1000.00,2000.00,1000.00,0.30,1.01,183.26,-0.08,-0.08,0.99,0.04,1.00,0.09,1.00,-0.04,0.07,1.4242508
22,0.000,-27.7361,0.500,-27.7361,0.500,-27.7361,1692.60,0.05,1000.26,69.67,1000.00,2000.00,1000.00,0.31,0.96,183.42,-0.08,-0.09,0.99,0.03,0.99,0.10,1.00,-0.04,0.08,1.4021719
