Iteration,Aileron,AileronLoss,Elevator,ElevatorLoss,Rudder,RudderLoss,DistanceToTarget,PlanePositionX,PlanePositionY,PlanePositionZ,TargetPositionX,TargetPositionY,TargetPositionZ,PlaneVelocityX,PlaneVelocityY,PlaneVelocityZ,PlaneForwardX,PlaneForwardY,PlaneForwardZ,PlaneUpX,PlaneUpY,PlaneUpZ,PlaneRightX,PlaneRightY,PlaneRightZ,LossAngleChange
0,0.541,-30.2558,0.000,-30.2558,1.000,-30.2558,1730.32,-0.00,1000.00,3.00,1000.00,2000.00,1000.00,-0.00,0.04,180.15,0.00,0.00,1.00,0.00,1.00,-0.00,1.00,-0.00,-0.00,-1.5702455
1,0.554,-30.2292,0.000,-30.2292,1.000,-30.2292,1728.59,-0.00,1000.00,6.01,1000.00,2000.00,1000.00,-0.00,0.08,180.29,0.00,0.00,1.00,0.00,1.00,-0.00,1.00,-0.00,-0.00,1.0103911
2,0.561,-30.2037,0.151,-30.2037,1.000,-30.2037,1726.86,-0.00,1000.00,9.01,1000.00,2000.00,1000.00,-0.01,0.12,180.44,0.00,0.00,1.00,0.00,1.00,-0.00,1.00,-0.00,-0.00,0.9914407
3,0.595,-30.1796,0.128,-30.1796,1.000,-30.1796,1725.13,-0.00,1000.01,12.02,1000.00,2000.00,1000.00,-0.02,0.15,180.58,0.00,0.00,1.00,0.00,1.00,-0.00,1.00,-0.00,-0.00,0.9671836
4,0.609,-30.1567,0.082,-30.1567,1.000,-30.1568,1723.41,-0.00,1000.01,15.04,1000.00,2000.00,1000.00,-0.02,0.18,180.73,0.00,0.00,1.00,0.00,1.00,-0.00,1.00,-0.00,-0.00,0.9392207
5,0.626,-30.1358,0.063,-30.1359,1.000,-30.1358,1721.69,-0.00,1000.01,18.05,1000.00,2000.00,1000.00,-0.03,0.21,180.87,0.00,0.00,1.00,0.00,1.00,-0.00,1.00,-0.00,-0.00,0.8992727
6,0.000,-30.1166,0.027,-30.1166,0.976,-30.1166,1719.96,-0.00,1000.02,21.07,1000.00,2000.00,1000.00,-0.04,0.24,181.01,0.00,0.00,1.00,0.00,1.00,-0.00,1.00,-0.00,-0.00,0.8554539
7,0.627,-30.0996,0.000,-30.0996,0.998,-30.0996,1718.25,-0.00,1000.02,24.09,1000.00,2000.00,1000.00,-0.05,0.26,181.15,0.00,0.01,1.00,0.01,1.00,-0.01,1.00,-0.01,-0.00,0.7960332
8,0.643,-30.0850,0.000,-30.0850,1.000,-30.0850,1716.53,-0.00,1000.03,27.11,1000.00,2000.00,1000.00,-0.06,0.29,181.29,0.01,0.01,1.00,0.01,1.00,-0.01,1.00,-0.01,-0.01,0.7194216
9,0.473,-30.0725,0.000,-30.0726,1.000,-30.0726,1714.81,-0.01,1000.03,30.13,1000.00,2000.00,1000.00,-0.07,0.31,181.43,0.01,0.01,1.00,0.01,1.00,-0.01,1.00,-0.01,-0.01,0.6416234
10,0.663,-30.0634,0.000,-30.0634,1.000,-30.0634,1713.10,-0.01,1000.04,33.16,1000.00,2000.00,1000.00,-0.09,0.34,181.57,0.01,0.01,1.00,0.01,1.00,-0.01,1.00,-0.01,-0.01,0.5041625
11,0.676,-30.0567,0.000,-30.0567,1.000,-30.0567,1711.39,-0.01,1000.04,36.19,1000.00,2000.00,1000.00,-0.10,0.37,181.71,0.01,0.02,1.00,0.02,1.00,-0.02,1.00,-0.02,-0.01,0.3821574
12,0.154,-30.0380,0.837,-30.0380,1.000,-30.0380,1709.68,-0.01,1000.05,39.22,1000.00,2000.00,1000.00,-0.11,0.41,181.84,0.02,0.02,1.00,0.02,1.00,-0.02,1.00,-0.02,-0.02,0.8425143
13,0.677,-30.0472,0.000,-30.0472,1.000,-30.0472,1707.98,-0.01,1000.06,42.25,1000.00,2000.00,1000.00,-0.12,0.45,181.97,0.02,0.03,1.00,0.02,1.00,-0.03,1.00,-0.02,-0.02,-0.5065283
14,0.676,-30.0349,0.839,-30.0349,1.000,-30.0349,1706.28,-0.01,1000.07,45.29,1000.00,2000.00,1000.00,-0.13,0.50,182.10,0.02,0.03,1.00,0.03,1.00,-0.03,1.00,-0.03,-0.02,0.6359440
15,0.240,-30.0484,0.000,-30.0484,1.000,-30.0484,1704.57,-0.02,1000.08,48.32,1000.00,2000.00,1000.00,-0.14,0.56,182.23,0.03,0.04,1.00,0.03,1.00,-0.04,1.00,-0.03,-0.03,-0.6789480
16,0.000,-30.0256,1.000,-30.0256,0.241,-30.0256,1702.87,-0.02,1000.09,51.36,1000.00,2000.00,1000.00,-0.15,0.63,182.36,0.03,0.04,1.00,0.04,1.00,-0.04,1.00,-0.04,-0.03,0.9398983
17,0.092,-30.0568,0.000,-30.0568,1.000,-30.0568,1701.18,-0.02,1000.10,54.40,1000.00,2000.00,1000.00,-0.15,0.71,182.48,0.04,0.05,1.00,0.04,1.00,-0.05,1.00,-0.04,-0.04,-1.0810163
18,0.678,-30.0431,0.738,-30.0431,0.431,-30.0431,1699.48,-0.02,1000.11,57.45,1000.00,2000.00,1000.00,-0.15,0.80,182.61,0.05,0.05,1.00,0.05,1.00,-0.06,1.00,-0.05,-0.04,0.6874831
19,0.660,-30.0781,0.000,-30.0781,1.000,-30.0781,1697.79,-0.03,1000.13,60.49,1000.00,2000.00,1000.00,-0.15,0.90,182.72,0.05,0.06,1.00,0.05,1.00,-0.06,1.00,-0.05,-0.05,-1.1258671
20,0.691,-30.0713,0.963,-30.0713,0.264,-30.0713,1696.09,-0.03,1000.14,63.54,1000.00,2000.00,1000.00,-0.14,1.02,182.84,0.06,0.07,1.00,0.06,1.00,-0.07,1.00,-0.06,-0.06,0.3863868
21,0.546,-30.0988,1.000,-30.0988,1.000,-30.0988,1694.40,-0.03,1000.16,66.59,1000.00,2000.00,1000.00,-0.13,1.15,182.95,0.07,0.07,0.99,0.06,1.00,-0.08,1.00,-0.07,-0.06,-1.0265183
22,0.646,-30.1264,0.029,-30.1264,1.000,-30.1264,1692.71,-0.03,1000.18,69.64,1000.00,2000.00,1000.00,-0.11,1.29,183.06,0.08,0.08,0.99,0.07,0.99,-0.09,0.99,-0.07,-0.07,-1.0261192
23,0.670,-30.1309,0.785,-30.1309,0.358,-30.1309,1691.02,-0.03,1000.21,72.69,1000.00,2000.00,1000.00,-0.09,1.44,183.16,0.09,0.09,0.99,0.07,0.99,-0.10,0.99,-0.08,-0.08,-0.2687931
24,0.630,-30.1707,0.056,-30.1706,1.000,-30.1708,1689.33,-0.04,1000.23,75.75,1000.00,2000.00,1000.00,-0.06,1.61,183.25,0.10,0.10,0.99,0.08,0.99,-0.11,0.99,-0.09,-0.09,-1.1745182
25,0.630,-30.1881,0.065,-30.1882,0.490,-30.1883,1687.65,-0.04,1000.26,78.80,1000.00,2000.00,1000.00,-0.03,1.79,183.34,0.11,0.11,0.99,0.08,0.99,-0.11,0.99,-0.09,-0.10,-0.8107058
26,0.645,-30.2119,0.847,-30.2118,0.335,-30.2118,1685.96,-0.04,1000.30,81.86,1000.00,2000.00,1000.00,0.01,1.98,183.43,0.12,0.11,0.99,0.09,0.99,-0.12,0.99,-0.10,-0.11,-0.9538416
27,0.603,-30.2533,0.098,-30.2533,1.000,-30.2534,1684.27,-0.03,1000.33,84.92,1000.00,2000.00,1000.00,0.06,2.19,183.50,0.13,0.12,0.98,0.09,0.99,-0.13,0.99,-0.11,-0.11,-1.1895730
28,0.624,-30.2838,0.799,-30.2838,1.000,-30.2838,1682.59,-0.03,1000.37,87.98,1000.00,2000.00,1000.00,0.11,2.41,183.57,0.14,0.13,0.98,0.10,0.98,-0.15,0.99,-0.11,-0.12,-1.0692123
29,0.597,-30.3121,0.141,-30.3122,0.501,-30.3122,1680.90,-0.03,1000.42,91.04,1000.00,2000.00,1000.00,0.17,2.65,183.63,0.15,0.14,0.98,0.10,0.98,-0.16,0.98,-0.12,-0.13,-1.0407202
30,0.606,-30.3526,0.650,-30.3527,1.000,-30.3527,1679.22,-0.03,1000.47,94.10,1000.00,2000.00,1000.00,0.24,2.91,183.68,0.16,0.15,0.98,0.10,0.98,-0.17,0.98,-0.13,-0.14,-1.1800036
