Iteration,Aileron,AileronLoss,Elevator,ElevatorLoss,Rudder,RudderLoss,DistanceToTarget,PlanePositionX,PlanePositionY,PlanePositionZ,TargetPositionX,TargetPositionY,TargetPositionZ,PlaneVelocityX,PlaneVelocityY,PlaneVelocityZ,PlaneForwardX,PlaneForwardY,PlaneForwardZ,PlaneUpX,PlaneUpY,PlaneUpZ,PlaneRightX,PlaneRightY,PlaneRightZ,LossAngleChange
0,0.534,-30.3590,0.000,-30.3590,1.000,-30.3590,1730.32,-0.00,1000.00,3.00,1000.00,2000.00,1000.00,-0.00,0.04,180.15,0.00,0.00,1.00,0.00,1.00,-0.00,1.00,-0.00,-0.00,-1.5702473
1,0.551,-30.3328,0.000,-30.3328,1.000,-30.3328,1728.59,-0.00,1000.00,6.01,1000.00,2000.00,1000.00,-0.00,0.08,180.29,0.00,0.00,1.00,0.00,1.00,-0.00,1.00,-0.00,-0.00,1.0044839
2,0.570,-30.3076,0.078,-30.3076,1.000,-30.3076,1726.86,-0.00,1000.00,9.01,1000.00,2000.00,1000.00,-0.01,0.12,180.44,0.00,0.00,1.00,0.00,1.00,-0.00,1.00,-0.00,-0.00,0.9865681
3,0.589,-30.2839,0.093,-30.2839,1.000,-30.2839,1725.13,-0.00,1000.01,12.02,1000.00,2000.00,1000.00,-0.02,0.15,180.58,0.00,0.00,1.00,0.00,1.00,-0.00,1.00,-0.00,-0.00,0.9574621
4,0.592,-30.2616,0.053,-30.2616,1.000,-30.2616,1723.41,-0.00,1000.01,15.04,1000.00,2000.00,1000.00,-0.02,0.18,180.73,0.00,0.00,1.00,0.00,1.00,-0.00,1.00,-0.00,-0.00,0.9296834
5,0.619,-30.2412,0.046,-30.2412,1.000,-30.2412,1721.69,-0.00,1000.01,18.05,1000.00,2000.00,1000.00,-0.03,0.21,180.87,0.00,0.00,1.00,0.00,1.00,-0.00,1.00,-0.00,-0.00,0.8853906
6,0.000,-30.2226,0.000,-30.2226,1.000,-30.2226,1719.96,-0.00,1000.02,21.07,1000.00,2000.00,1000.00,-0.04,0.24,181.01,0.00,0.00,1.00,0.00,1.00,-0.00,1.00,-0.00,-0.00,0.8404818
7,0.629,-30.2062,0.012,-30.2062,0.996,-30.2062,1718.25,-0.00,1000.02,24.09,1000.00,2000.00,1000.00,-0.05,0.26,181.15,0.00,0.01,1.00,0.01,1.00,-0.01,1.00,-0.01,-0.00,0.7770824
8,0.633,-30.1924,0.000,-30.1924,0.996,-30.1924,1716.53,-0.00,1000.03,27.11,1000.00,2000.00,1000.00,-0.06,0.29,181.29,0.01,0.01,1.00,0.01,1.00,-0.01,1.00,-0.01,-0.01,0.6917742
9,0.404,-30.1806,0.000,-30.1806,1.000,-30.1806,1714.81,-0.01,1000.03,30.13,1000.00,2000.00,1000.00,-0.07,0.31,181.43,0.01,0.01,1.00,0.01,1.00,-0.01,1.00,-0.01,-0.01,0.6149612
