Iteration,Aileron,AileronLoss,Elevator,ElevatorLoss,Rudder,RudderLoss,DistanceToTarget,PlanePositionX,PlanePositionY,PlanePositionZ,TargetPositionX,TargetPositionY,TargetPositionZ,PlaneVelocityX,PlaneVelocityY,PlaneVelocityZ,PlaneForwardX,PlaneForwardY,PlaneForwardZ,PlaneUpX,PlaneUpY,PlaneUpZ,PlaneRightX,PlaneRightY,PlaneRightZ,LossAngleChange
0,0.534,-30.3426,0.000,-30.3426,1.000,-30.3426,1730.32,-0.00,1000.00,3.00,1000.00,2000.00,1000.00,-0.00,0.04,180.15,0.00,0.00,1.00,0.00,1.00,-0.00,1.00,-0.00,-0.00,-1.5702471
1,0.551,-30.3164,0.000,-30.3164,1.000,-30.3164,1728.59,-0.00,1000.00,6.01,1000.00,2000.00,1000.00,-0.00,0.08,180.29,0.00,0.00,1.00,0.00,1.00,-0.00,1.00,-0.00,-0.00,1.0047803
2,0.576,-30.2911,0.146,-30.2911,1.000,-30.2911,1726.86,-0.00,1000.00,9.01,1000.00,2000.00,1000.00,-0.01,0.12,180.44,0.00,0.00,1.00,0.00,1.00,-0.00,1.00,-0.00,-0.00,0.9870204
3,0.577,-30.2674,0.111,-30.2673,1.000,-30.2673,1725.13,-0.00,1000.01,12.02,1000.00,2000.00,1000.00,-0.02,0.15,180.58,0.00,0.00,1.00,0.00,1.00,-0.00,1.00,-0.00,-0.00,0.9594659
4,0.617,-30.2449,0.048,-30.2450,1.000,-30.2449,1723.41,-0.00,1000.01,15.04,1000.00,2000.00,1000.00,-0.02,0.18,180.73,0.00,0.00,1.00,0.00,1.00,-0.00,1.00,-0.00,-0.00,0.9317654
5,0.000,-30.2244,0.027,-30.2244,1.000,-30.2244,1721.69,-0.00,1000.01,18.05,1000.00,2000.00,1000.00,-0.03,0.21,180.87,0.00,0.00,1.00,0.00,1.00,-0.00,1.00,-0.00,-0.00,0.8881781
6,0.636,-30.2058,0.035,-30.2058,0.999,-30.2058,1719.96,-0.00,1000.02,21.07,1000.00,2000.00,1000.00,-0.04,0.24,181.01,0.00,0.00,1.00,0.00,1.00,-0.00,1.00,-0.00,-0.00,0.8400742
7,0.632,-30.1892,0.008,-30.1892,0.997,-30.1892,1718.25,-0.00,1000.02,24.09,1000.00,2000.00,1000.00,-0.05,0.26,181.15,0.00,0.01,1.00,0.01,1.00,-0.01,1.00,-0.01,-0.00,0.7845315
8,0.645,-30.1752,0.000,-30.1752,0.997,-30.1752,1716.53,-0.00,1000.03,27.11,1000.00,2000.00,1000.00,-0.06,0.29,181.29,0.01,0.01,1.00,0.01,1.00,-0.01,1.00,-0.01,-0.01,0.6974487
9,0.656,-30.1637,0.000,-30.1637,1.000,-30.1637,1714.81,-0.01,1000.03,30.13,1000.00,2000.00,1000.00,-0.07,0.31,181.43,0.01,0.01,1.00,0.01,1.00,-0.01,1.00,-0.01,-0.01,0.6025618
10,0.497,-30.1548,0.000,-30.1548,1.000,-30.1548,1713.10,-0.01,1000.04,33.16,1000.00,2000.00,1000.00,-0.09,0.34,181.57,0.01,0.01,1.00,0.01,1.00,-0.01,1.00,-0.01,-0.01,0.4941942
11,0.672,-30.1491,0.000,-30.1490,1.000,-30.1490,1711.39,-0.01,1000.04,36.19,1000.00,2000.00,1000.00,-0.10,0.37,181.71,0.01,0.02,1.00,0.02,1.00,-0.02,1.00,-0.02,-0.01,0.3309186
